,Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price,Age
5127,lexus,es,2016,yellow,gas,automatic,1.6,-1.1178665749357564,eastern,91200,7
5128,toyota,hilux,2018,white,gas,manual,2.7,-0.3271167988681033,riyadh,91500,5
5129,mercedes,c,2015,gray,gas,automatic,2.0,-0.28330949661040955,makkah,91500,8
5130,toyota,rav4,2020,white,gas,automatic,2.0,-0.29295443325895504,riyadh,91500,3
5131,toyota,land cruiser,2011,white,gas,automatic,4.5,0.5268651818674142,riyadh,92000,12
5132,chevrolet,tahoe,2016,white,gas,automatic,5.3,0.6618942949470514,riyadh,92000,7
5133,chevrolet,tahoe,2015,black,gas,automatic,5.3,-0.07112089034240808,riyadh,92000,8
5134,chevrolet,silverado,2016,brown,gas,automatic,5.3,-0.15792532017931776,eastern,92000,7
5135,toyota,fortuner,2016,white,diesel,automatic,2.4,-0.08076582699095361,al-jouf,92000,7
5136,ford,taurus,2018,white,gas,automatic,3.6,-0.48585316622986546,riyadh,92000,5
5137,toyota,camry,2020,gray,gas,automatic,2.5,-1.0452594918455056,aseer,92000,3
