Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price
toyota,land cruiser,2015,white,gas,manual,2.6,180000,makkah,80000
ford,taurus,2019,gray,gas,automatic,2,54000,riyadh,80000
toyota,hilux,2016,white,gas,manual,1.4,8700,riyadh,80000
toyota,camry,2017,white,gas,automatic,2.5,167000,riyadh,80000
hyundai,tucson,2019,brown,gas,automatic,2,130000,riyadh,80000
hyundai,azera,2020,white,gas,automatic,3,111000,riyadh,80000
hyundai,creta,2021,red,gas,automatic,1.5,7000,riyadh,80000
hyundai,elantra,2021,gray,gas,automatic,2,73000,riyadh,80000
hyundai,santa fe,2019,gray,gas,automatic,2,83000,eastern,80000
chevrolet,malibu,2018,gray,gas,automatic,2,85000,riyadh,80000
kia,seltos,2021,red,gas,automatic,1.6,18000,riyadh,80000
mercedes,s,2012,black,gas,automatic,3.5,242000,madinah,80000
toyota,hilux,2017,white,gas,automatic,2.7,142800,eastern,80000
toyota,camry,2018,white,gas,automatic,2.4,78000,riyadh,80000
hyundai,tucson,2018,gray,gas,automatic,2.4,56000,riyadh,80000
chevrolet,caprice,2013,gray,gas,automatic,6,70375,riyadh,80500
ford,taurus,2019,white,gas,automatic,2,85828,riyadh,80500
ford,taurus,2019,white,gas,automatic,2,82569,riyadh,80500
toyota,fortuner,2015,gray,gas,manual,4,70346,riyadh,80500
ford,taurus,2015,white,gas,automatic,3.1,96000,eastern,81000
ford,edge,2017,black,gas,automatic,3.5,92000,riyadh,81000
toyota,hilux,2017,white,gas,manual,2.7,168000,al-jouf,81000
ford,taurus,2015,white,gas,automatic,3.5,121000,eastern,81000
ford,taurus,2015,gray,gas,automatic,3.5,112000,eastern,81000
toyota,land cruiser,2010,white,gas,automatic,4.6,310000,riyadh,81000
kia,cadenza,2020,gray,gas,automatic,3.5,102000,riyadh,81000
chevrolet,silverado,2016,white,gas,automatic,5.3,143000,eastern,81000
ford,expedition,2016,gray,gas,automatic,3.5,172000,eastern,81000
toyota,camry,2019,red,gas,automatic,2.5,105285,riyadh,81500
hyundai,sonata,2018,gray,gas,automatic,2.4,49271,riyadh,81500
toyota,avalon,2016,white,gas,automatic,3.5,110864,riyadh,81500
hyundai,santa fe,2020,gray,gas,automatic,2.4,93000,riyadh,82000
ford,taurus,2019,black,gas,automatic,2,49000,riyadh,82000
toyota,camry,2019,brown,gas,automatic,2.5,49000,riyadh,82000
chevrolet,caprice,2014,other,gas,automatic,6,163000,riyadh,82000
hyundai,azera,2018,other,gas,automatic,3.5,127000,riyadh,82000
ford,explorer,2017,white,gas,automatic,3.5,94000,riyadh,82000
nissan,patrol,2015,white,gas,automatic,4.8,130000,eastern,82000
ford,taurus,2015,white,gas,automatic,3.5,121000,eastern,82000
lexus,es,2014,brown,gas,automatic,3.5,230000,eastern,82000
toyota,hilux,2018,white,gas,manual,2.7,126000,riyadh,82000
ford,taurus,2018,white,gas,automatic,2,69000,eastern,82000
hyundai,tucson,2020,gray,gas,automatic,1.6,6350,makkah,82000
hyundai,azera,2018,brown,gas,automatic,3.5,110000,riyadh,82000
nissan,altima,2021,gray,gas,cvt,2.5,18000,riyadh,82000
hyundai,azera,2018,white,gas,automatic,3.5,240000,riyadh,82000
chevrolet,silverado,2016,white,gas,automatic,5.3,143000,eastern,82000
hyundai,sonata,2019,brown,gas,automatic,2.4,106000,eastern,82000
hyundai,tucson,2018,gray,gas,automatic,2,127000,riyadh,82000
ford,taurus,2015,brown,gas,automatic,6.3,113220,makkah,82500
toyota,rav4,2018,gray,gas,automatic,2.7,56625,eastern,82500
nissan,patrol,2016,white,gas,automatic,4.8,93000,makkah,83000
ford,explorer,2016,gray,gas,automatic,3.5,112000,riyadh,83000
hyundai,genesis,2017,blue,gas,automatic,3.8,128000,riyadh,83000
ford,taurus,2017,black,gas,automatic,3.5,27000,riyadh,83000
ford,taurus,2016,other,gas,automatic,3.5,105,riyadh,83000
ford,expedition,2016,white,gas,automatic,3.5,103000,riyadh,83000
chevrolet,silverado,2018,white,gas,automatic,8,97000,eastern,83000
kia,cadenza,2017,black,gas,automatic,3.3,88000,riyadh,83000
toyota,land cruiser,2010,white,gas,automatic,1.5,360000,riyadh,83000
ford,taurus,2017,black,gas,automatic,1.7,92595,riyadh,83000
nissan,patrol,2016,white,gas,automatic,4.8,59000,makkah,83000
toyota,innova,2020,white,gas,automatic,2.7,50000,eastern,83000
toyota,innova,2020,gray,gas,automatic,2.7,750,madinah,83000
toyota,rav4,2018,white,gas,automatic,2.5,61000,riyadh,83000
toyota,rav4,2017,white,gas,automatic,2,93000,riyadh,83000
toyota,camry,2019,white,gas,automatic,2.5,34727,qassim,83000
toyota,camry,2019,gray,gas,automatic,2.5,80500,eastern,83000
hyundai,sonata,2020,blue,gas,automatic,2.5,47000,riyadh,83000
hyundai,tucson,2021,gray,gas,automatic,2,15000,eastern,83000
ford,explorer,2013,black,gas,automatic,3.5,14606,riyadh,83500
toyota,hilux,2016,white,gas,automatic,2.7,162500,hail,84000
ford,taurus,2019,black,gas,automatic,2,26000,makkah,84000
toyota,prado,2015,gray,gas,automatic,3.6,225989,makkah,84000
hyundai,sonata,2019,white,gas,automatic,2.4,92000,eastern,84000
hyundai,elantra,2022,gray,gas,cvt,1.6,1900,makkah,84000
hyundai,tucson,2020,gray,gas,automatic,2,55000,eastern,84000
hyundai,tucson,2019,white,gas,automatic,2,82000,eastern,84000
toyota,camry,2020,white,gas,automatic,2.5,4443,riyadh,84500
kia,cadenza,2017,other,gas,automatic,3.3,88331,riyadh,84500
ford,taurus,2019,gray,gas,automatic,3.5,54494,riyadh,85000
ford,taurus,2019,white,gas,automatic,3.5,62556,riyadh,85000
ford,taurus,2019,white,gas,automatic,3.5,61817,riyadh,85000
toyota,innova,2018,white,gas,automatic,2.7,14588,riyadh,85000
nissan,patrol,2013,yellow,gas,automatic,5.6,442000,riyadh,85000
hyundai,sonata,2020,other,gas,automatic,2.5,22000,riyadh,85000
toyota,fj,2016,white,gas,automatic,4.6,272,hail,85000
ford,taurus,2019,gray,gas,automatic,2,34000,qassim,85000
hyundai,santa fe,2016,blue,gas,automatic,3.3,73115,makkah,85000
hyundai,azera,2018,gray,gas,automatic,3.5,50000,riyadh,85000
ford,explorer,2016,brown,gas,automatic,3.8,83000,riyadh,85000
ford,expedition,2017,other,gas,automatic,3.5,123000,riyadh,85000
ford,muang,2015,gray,gas,automatic,6,121000,riyadh,85000
chevrolet,traverse,2016,white,gas,automatic,3.5,154000,eastern,85000
ford,taurus,2015,white,gas,automatic,3.5,96000,eastern,85000
chevrolet,silverado,2018,gray,gas,automatic,5.3,88000,eastern,85000
nissan,maxima,2018,white,gas,automatic,3.5,48000,eastern,85000
toyota,fortuner,2015,gray,gas,automatic,4,141000,eastern,85000
lexus,es,2015,brown,gas,automatic,3.5,246398,riyadh,85000
toyota,fj,2015,white,gas,automatic,2.7,230000,qassim,85000
toyota,fortuner,2017,white,gas,automatic,2.7,6000,makkah,85000
toyota,rav4,2018,white,gas,automatic,2.5,84000,eastern,85000
ford,ranger,2021,blue,diesel,manual,2.2,9000,aseer,85000
toyota,hilux,2016,white,gas,automatic,2.7,95000,makkah,85000
mercedes,s,2011,brown,gas,automatic,3,137000,makkah,85000
